,state,min,max
2018-08-17 10:24:53.124116,129.55,0.0,0.0
2018-08-17 10:39:13.776173,129.55,0.0,0.0
2018-08-21 11:04:55.322820,129.55,0.0,0.0
2018-08-21 11:05:27.671054,129.55,0.0,0.0
2018-08-21 13:42:53.471817,129.55,0.0,0.0
2018-08-21 18:49:22.812586,129.55,0.0,0.0
2018-08-21 18:49:23.766681,129.55,0.0,0.0
2018-08-21 18:49:24.712776,129.55,0.0,0.0
2018-08-21 18:49:25.662871,129.55,0.0,0.0
2018-08-21 18:49:26.661971,129.55,0.0,0.0
2018-08-21 18:49:27.612066,129.55,0.0,0.0
2018-08-21 18:49:28.465151,129.55,0.0,0.0
2018-08-21 18:49:29.412246,129.55,0.0,0.0
2018-08-21 18:49:30.362341,129.55,0.0,0.0
2018-08-21 18:49:31.225427,129.55,0.0,0.0
2018-08-21 18:49:32.181523,129.55,0.0,0.0
2018-08-21 18:49:33.112616,129.55,0.0,0.0
2018-08-21 18:49:34.062711,129.55,0.0,0.0
2018-08-21 18:49:35.012806,129.55,0.0,0.0
2018-08-21 18:49:35.962901,129.55,0.0,0.0
2018-08-21 18:49:36.920997,129.55,0.0,0.0
2018-08-21 18:49:37.863091,129.55,0.0,0.0
2018-08-21 18:49:38.813186,129.55,0.0,0.0
2018-08-21 18:49:39.763281,129.55,0.0,0.0
2018-08-21 18:49:40.713376,129.55,0.0,0.0
2018-08-21 18:49:41.563461,129.55,0.0,0.0
2018-08-21 18:49:42.513556,129.55,0.0,0.0
2018-08-21 18:49:43.462651,129.55,0.0,0.0
2018-08-21 18:49:44.412746,129.55,0.0,0.0
2018-08-21 18:49:45.361841,129.55,0.0,0.0
2018-08-21 18:49:46.312936,129.55,0.0,0.0
2018-08-21 18:49:47.263031,129.55,0.0,0.0
2018-08-21 18:49:48.213126,129.55,0.0,0.0
2018-08-21 18:49:49.163221,129.55,0.0,0.0
2018-08-21 18:49:50.112316,129.55,0.0,0.0
2018-08-21 18:49:51.063411,129.55,0.0,0.0
2018-08-21 18:49:52.013506,129.55,0.0,0.0
2018-08-21 18:49:52.962601,129.55,0.0,0.0
2018-08-21 18:49:53.913696,129.55,0.0,0.0
2018-08-21 18:49:54.863791,129.55,0.0,0.0
2018-08-21 18:49:55.813886,129.55,0.0,0.0
2018-08-21 18:49:56.763981,129.55,0.0,0.0
2018-08-21 18:49:57.714076,129.55,0.0,0.0
2018-08-21 18:49:58.571161,129.55,0.0,0.0
