,state,min,max
2018-08-17 10:24:53.124116,0.0,0.0,0.0
2018-08-17 10:39:13.776173,0.0,0.0,0.0
2018-08-21 11:04:55.322820,0.0,0.0,0.0
2018-08-21 11:05:27.671054,0.0,0.0,0.0
2018-08-21 13:42:53.471817,0.0,0.0,0.0
2018-08-21 18:49:22.812586,0.0,0.0,0.0
2018-08-21 18:49:23.766681,0.0,0.0,0.0
2018-08-21 18:49:24.712776,0.0,0.0,0.0
2018-08-21 18:49:25.662871,0.0,0.0,0.0
2018-08-21 18:49:26.661971,0.0,0.0,0.0
2018-08-21 18:49:27.612066,0.0,0.0,0.0
2018-08-21 18:49:28.465151,0.0,0.0,0.0
2018-08-21 18:49:29.412246,0.0,0.0,0.0
2018-08-21 18:49:30.362341,0.0,0.0,0.0
2018-08-21 18:49:31.225427,0.0,0.0,0.0
2018-08-21 18:49:32.181523,0.0,0.0,0.0
2018-08-21 18:49:33.112616,0.0,0.0,0.0
2018-08-21 18:49:34.062711,0.0,0.0,0.0
2018-08-21 18:49:35.012806,0.0,0.0,0.0
2018-08-21 18:49:35.962901,0.0,0.0,0.0
2018-08-21 18:49:36.920997,0.0,0.0,0.0
2018-08-21 18:49:37.863091,0.0,0.0,0.0
2018-08-21 18:49:38.813186,0.0,0.0,0.0
2018-08-21 18:49:39.763281,0.0,0.0,0.0
2018-08-21 18:49:40.713376,0.0,0.0,0.0
2018-08-21 18:49:41.563461,0.0,0.0,0.0
2018-08-21 18:49:42.513556,0.0,0.0,0.0
2018-08-21 18:49:43.462651,0.0,0.0,0.0
2018-08-21 18:49:44.412746,0.0,0.0,0.0
2018-08-21 18:49:45.361841,0.0,0.0,0.0
2018-08-21 18:49:46.312936,0.0,0.0,0.0
2018-08-21 18:49:47.263031,0.0,0.0,0.0
2018-08-21 18:49:48.213126,0.0,0.0,0.0
2018-08-21 18:49:49.163221,0.0,0.0,0.0
2018-08-21 18:49:50.112316,0.0,0.0,0.0
2018-08-21 18:49:51.063411,0.0,0.0,0.0
2018-08-21 18:49:52.013506,0.0,0.0,0.0
2018-08-21 18:49:52.962601,0.0,0.0,0.0
2018-08-21 18:49:53.913696,0.0,0.0,0.0
2018-08-21 18:49:54.863791,0.0,0.0,0.0
2018-08-21 18:49:55.813886,0.0,0.0,0.0
2018-08-21 18:49:56.763981,0.0,0.0,0.0
2018-08-21 18:49:57.714076,0.0,0.0,0.0
2018-08-21 18:49:58.571161,0.0,0.0,0.0
2018-08-21 18:49:59.519256,0.0,0.0,0.0
2018-08-21 18:50:00.464351,0.0,0.0,0.0
2018-08-21 18:50:01.416446,0.0,0.0,0.0
2018-08-21 18:50:02.363541,0.0,0.0,0.0
2018-08-21 18:50:03.212626,0.0,0.0,0.0
2018-08-21 18:50:04.163721,0.0,0.0,0.0
2018-08-21 18:50:05.113816,0.0,0.0,0.0
2018-08-21 18:50:06.063911,0.0,0.0,0.0
2018-08-21 18:50:06.912996,0.0,0.0,0.0
2018-08-21 18:50:07.864091,0.0,0.0,0.0
2018-08-21 18:50:08.814186,0.0,0.0,0.0
2018-08-21 18:50:09.764281,0.0,0.0,0.0
2018-08-21 18:50:10.714376,0.0,0.0,0.0
2018-08-21 18:50:11.664471,0.0,0.0,0.0
2018-08-21 18:50:12.518556,0.0,0.0,0.0
2018-08-21 18:50:13.464651,0.0,0.0,0.0
2018-08-21 18:50:14.414746,0.0,0.0,0.0
2018-08-21 18:50:15.364841,0.0,0.0,0.0
2018-08-21 18:50:16.313936,0.0,0.0,0.0
